complaint,category,date,region
This problem occurred because seller refused to refund defective product,Consumer Law,2024-09-28,Bangalore
I want to complain that received damaged item from online store,Consumer Law,2022-06-19,Mumbai
I am writing to report that wrong product delivered and no replacement,Consumer Law,2024-09-11,Pune
I am facing an issue where company is not honoring warranty,Consumer Law,2024-03-16,Kolkata
Please help as seller refused to refund defective product,Consumer Law,2022-01-15,Chennai
I need help since received damaged item from online store,Consumer Law,2023-12-02,Bangalore
I am facing an issue where seller refused to refund defective product,Consumer Law,2023-03-14,Ahmedabad
Kindly look into the matter: wrong product delivered and no replacement,Consumer Law,2024-04-12,Kolkata
I am writing to report that received damaged item from online store,Consumer Law,2022-07-05,Bangalore
Seller refused to refund defective product,Consumer Law,2023-08-15,Pune
I need help since seller refused to refund defective product,Consumer Law,2022-01-16,Ahmedabad
This problem occurred because received damaged item from online store,Consumer Law,2022-02-14,Mumbai
Please help as seller refused to refund defective product,Consumer Law,2024-05-04,Delhi
Please help as received damaged item from online store,Consumer Law,2023-08-14,Kolkata
This is regarding that company is not honoring warranty,Consumer Law,2022-03-25,Ahmedabad
I am writing to report that service provider charged extra money,Consumer Law,2022-02-26,Mumbai
Please help as seller refused to refund defective product,Consumer Law,2023-10-10,Mumbai
Please help as company is not honoring warranty,Consumer Law,2024-04-02,Hyderabad
This problem occurred because service provider charged extra money,Consumer Law,2022-07-17,Chennai
I want to complain that company is not honoring warranty,Consumer Law,2022-06-22,Mumbai
I want to complain that wrong product delivered and no replacement,Consumer Law,2024-07-26,Pune
I am writing to report that company is not honoring warranty,Consumer Law,2024-07-07,Delhi
This is regarding that received damaged item from online store,Consumer Law,2022-12-02,Bangalore
Please help as service provider charged extra money,Consumer Law,2024-06-14,Bangalore
I am writing to report that wrong product delivered and no replacement,Consumer Law,2022-09-23,Kolkata
I am writing to report that company is not honoring warranty,Consumer Law,2022-07-25,Kolkata
I am writing to report that wrong product delivered and no replacement,Consumer Law,2022-09-15,Bangalore
This problem occurred because wrong product delivered and no replacement,Consumer Law,2022-06-02,Bangalore
I need help since company is not honoring warranty,Consumer Law,2024-03-05,Mumbai
Kindly look into the matter: company is not honoring warranty,Consumer Law,2023-11-09,Bangalore
This is regarding that company is not honoring warranty,Consumer Law,2024-08-07,Ahmedabad
received damaged item from online store and no action has been taken,Consumer Law,2023-04-19,Ahmedabad
Please help as wrong product delivered and no replacement,Consumer Law,2022-02-25,Bangalore
Please help as wrong product delivered and no replacement,Consumer Law,2023-01-19,Bangalore
I need help since received damaged item from online store,Consumer Law,2023-02-08,Ahmedabad
I am facing an issue where company is not honoring warranty,Consumer Law,2022-01-24,Mumbai
Kindly look into the matter: received damaged item from online store,Consumer Law,2023-01-30,Kolkata
I want to complain that company is not honoring warranty,Consumer Law,2023-08-25,Chennai
Kindly look into the matter: service provider charged extra money,Consumer Law,2023-01-17,Mumbai
Seller refused to refund defective product,Consumer Law,2022-09-11,Delhi
This is regarding that received damaged item from online store,Consumer Law,2023-09-23,Chennai
Please help as company is not honoring warranty,Consumer Law,2024-07-04,Mumbai
I am facing an issue where received damaged item from online store,Consumer Law,2023-09-04,Delhi
I need help since service provider charged extra money,Consumer Law,2024-04-09,Kolkata
I am writing to report that received damaged item from online store,Consumer Law,2023-11-03,Hyderabad
I am writing to report that received damaged item from online store,Consumer Law,2024-04-12,Ahmedabad
I want to complain that company is not honoring warranty,Consumer Law,2024-11-27,Mumbai
received damaged item from online store and no action has been taken,Consumer Law,2024-07-18,Chennai
Please help as company is not honoring warranty,Consumer Law,2024-01-07,Pune
I want to complain that service provider charged extra money,Consumer Law,2022-11-17,Pune
Received damaged item from online store,Consumer Law,2023-10-14,Mumbai
I want to complain that service provider charged extra money,Consumer Law,2024-07-16,Delhi
Kindly look into the matter: received damaged item from online store,Consumer Law,2024-04-25,Ahmedabad
Wrong product delivered and no replacement,Consumer Law,2022-03-06,Ahmedabad
Wrong product delivered and no replacement,Consumer Law,2022-07-27,Bangalore
seller refused to refund defective product and no action has been taken,Consumer Law,2024-01-31,Kolkata
I need help since received damaged item from online store,Consumer Law,2023-06-07,Mumbai
Kindly look into the matter: company is not honoring warranty,Consumer Law,2023-03-11,Ahmedabad
I want to complain that seller refused to refund defective product,Consumer Law,2023-05-06,Bangalore
I need help since service provider charged extra money,Consumer Law,2023-08-24,Delhi
I am facing an issue where service provider charged extra money,Consumer Law,2024-01-29,Bangalore
I am facing an issue where company is not honoring warranty,Consumer Law,2022-07-31,Chennai
This is regarding that received damaged item from online store,Consumer Law,2024-12-05,Chennai
seller refused to refund defective product and no action has been taken,Consumer Law,2022-02-19,Pune
I am writing to report that received damaged item from online store,Consumer Law,2024-06-25,Pune
Kindly look into the matter: received damaged item from online store,Consumer Law,2024-12-30,Pune
I want to complain that received damaged item from online store,Consumer Law,2022-12-11,Pune
I am writing to report that service provider charged extra money,Consumer Law,2024-09-06,Chennai
Seller refused to refund defective product,Consumer Law,2022-03-04,Chennai
Seller refused to refund defective product,Consumer Law,2023-08-30,Chennai
Please help as received damaged item from online store,Consumer Law,2023-10-20,Kolkata
Please help as wrong product delivered and no replacement,Consumer Law,2023-01-07,Hyderabad
This is regarding that seller refused to refund defective product,Consumer Law,2024-09-07,Pune
Received damaged item from online store,Consumer Law,2023-08-22,Mumbai
This problem occurred because wrong product delivered and no replacement,Consumer Law,2024-04-02,Pune
seller refused to refund defective product and no action has been taken,Consumer Law,2023-10-09,Kolkata
I want to complain that service provider charged extra money,Consumer Law,2024-11-01,Delhi
Kindly look into the matter: seller refused to refund defective product,Consumer Law,2022-06-04,Pune
Kindly look into the matter: wrong product delivered and no replacement,Consumer Law,2022-03-25,Kolkata
I need help since wrong product delivered and no replacement,Consumer Law,2022-09-01,Bangalore
I am writing to report that service provider charged extra money,Consumer Law,2022-02-20,Kolkata
service provider charged extra money and no action has been taken,Consumer Law,2022-11-26,Pune
I need help since received damaged item from online store,Consumer Law,2023-02-24,Chennai
This is regarding that wrong product delivered and no replacement,Consumer Law,2024-10-05,Pune
Wrong product delivered and no replacement,Consumer Law,2022-10-02,Ahmedabad
Please help as received damaged item from online store,Consumer Law,2023-10-16,Ahmedabad
service provider charged extra money and no action has been taken,Consumer Law,2022-05-22,Chennai
I am writing to report that company is not honoring warranty,Consumer Law,2023-04-02,Ahmedabad
This problem occurred because received damaged item from online store,Consumer Law,2024-05-11,Hyderabad
Kindly look into the matter: company is not honoring warranty,Consumer Law,2022-04-18,Ahmedabad
I am writing to report that company is not honoring warranty,Consumer Law,2022-02-08,Delhi
This is regarding that received damaged item from online store,Consumer Law,2023-02-19,Bangalore
I need help since received damaged item from online store,Consumer Law,2024-08-22,Pune
I am facing an issue where received damaged item from online store,Consumer Law,2024-11-23,Chennai
Company is not honoring warranty,Consumer Law,2022-02-27,Chennai
This problem occurred because company is not honoring warranty,Consumer Law,2023-11-06,Kolkata
Please help as received damaged item from online store,Consumer Law,2022-11-19,Pune
Kindly look into the matter: service provider charged extra money,Consumer Law,2023-05-29,Pune
Service provider charged extra money,Consumer Law,2024-10-13,Bangalore
I am writing to report that received damaged item from online store,Consumer Law,2024-12-16,Chennai
service provider charged extra money and no action has been taken,Consumer Law,2023-08-05,Kolkata
Please help as company is not honoring warranty,Consumer Law,2023-06-08,Ahmedabad
I am facing an issue where wrong product delivered and no replacement,Consumer Law,2022-10-26,Chennai
This is regarding that seller refused to refund defective product,Consumer Law,2023-02-06,Hyderabad
Kindly look into the matter: service provider charged extra money,Consumer Law,2022-05-29,Hyderabad
Kindly look into the matter: company is not honoring warranty,Consumer Law,2023-01-12,Chennai
wrong product delivered and no replacement and no action has been taken,Consumer Law,2024-09-27,Chennai
company is not honoring warranty and no action has been taken,Consumer Law,2023-02-24,Chennai
I need help since seller refused to refund defective product,Consumer Law,2022-11-10,Mumbai
company is not honoring warranty and no action has been taken,Consumer Law,2023-05-16,Delhi
Kindly look into the matter: wrong product delivered and no replacement,Consumer Law,2022-03-08,Chennai
This is regarding that company is not honoring warranty,Consumer Law,2023-05-24,Hyderabad
I am writing to report that wrong product delivered and no replacement,Consumer Law,2024-02-07,Kolkata
Kindly look into the matter: service provider charged extra money,Consumer Law,2024-06-22,Mumbai
I am writing to report that received damaged item from online store,Consumer Law,2023-07-13,Mumbai
This problem occurred because company is not honoring warranty,Consumer Law,2024-10-26,Mumbai
I am writing to report that service provider charged extra money,Consumer Law,2022-02-24,Ahmedabad
Received damaged item from online store,Consumer Law,2022-01-28,Hyderabad
This is regarding that service provider charged extra money,Consumer Law,2023-02-28,Ahmedabad
Please help as received damaged item from online store,Consumer Law,2022-08-07,Ahmedabad
Service provider charged extra money,Consumer Law,2024-01-29,Bangalore
Kindly look into the matter: seller refused to refund defective product,Consumer Law,2022-08-15,Delhi
Kindly look into the matter: received damaged item from online store,Consumer Law,2022-01-15,Kolkata
received damaged item from online store and no action has been taken,Consumer Law,2022-05-01,Ahmedabad
Seller refused to refund defective product,Consumer Law,2023-07-25,Bangalore
Kindly look into the matter: seller refused to refund defective product,Consumer Law,2022-08-27,Pune
I am writing to report that wrong product delivered and no replacement,Consumer Law,2022-01-05,Delhi
I need help since wrong product delivered and no replacement,Consumer Law,2023-09-09,Ahmedabad
I am writing to report that seller refused to refund defective product,Consumer Law,2023-08-21,Delhi
I am writing to report that wrong product delivered and no replacement,Consumer Law,2022-08-17,Pune
Received damaged item from online store,Consumer Law,2022-07-01,Mumbai
wrong product delivered and no replacement and no action has been taken,Consumer Law,2022-01-17,Bangalore
I need help since seller refused to refund defective product,Consumer Law,2022-05-25,Chennai
I want to complain that wrong product delivered and no replacement,Consumer Law,2023-03-17,Hyderabad
I want to complain that service provider charged extra money,Consumer Law,2022-07-21,Kolkata
Please help as company is not honoring warranty,Consumer Law,2023-05-26,Kolkata
This problem occurred because service provider charged extra money,Consumer Law,2024-06-23,Hyderabad
received damaged item from online store and no action has been taken,Consumer Law,2024-10-18,Kolkata
Please help as service provider charged extra money,Consumer Law,2023-03-18,Delhi
Kindly look into the matter: seller refused to refund defective product,Consumer Law,2023-10-22,Kolkata
Received damaged item from online store,Consumer Law,2023-09-17,Chennai
I need help since wrong product delivered and no replacement,Consumer Law,2023-07-06,Hyderabad
I am writing to report that service provider charged extra money,Consumer Law,2022-04-21,Hyderabad
I want to complain that seller refused to refund defective product,Consumer Law,2023-09-16,Hyderabad
Wrong product delivered and no replacement,Consumer Law,2023-01-23,Pune
I am writing to report that seller refused to refund defective product,Consumer Law,2022-04-21,Pune
I want to complain that service provider charged extra money,Consumer Law,2023-10-02,Chennai
This is regarding that wrong product delivered and no replacement,Consumer Law,2023-05-29,Delhi
This problem occurred because seller refused to refund defective product,Consumer Law,2023-04-29,Chennai
I need help since company is not honoring warranty,Consumer Law,2022-04-13,Bangalore
I need help since service provider charged extra money,Consumer Law,2022-06-09,Delhi
Please help as company is not honoring warranty,Consumer Law,2024-11-06,Bangalore
Please help as received damaged item from online store,Consumer Law,2023-03-14,Delhi
I am writing to report that wrong product delivered and no replacement,Consumer Law,2024-05-14,Mumbai
I want to complain that seller refused to refund defective product,Consumer Law,2024-11-22,Delhi
This is regarding that received damaged item from online store,Consumer Law,2022-05-04,Bangalore
I am writing to report that service provider charged extra money,Consumer Law,2024-03-25,Delhi
Received damaged item from online store,Consumer Law,2024-03-11,Bangalore
I am facing an issue where service provider charged extra money,Consumer Law,2024-12-22,Chennai
seller refused to refund defective product and no action has been taken,Consumer Law,2024-12-09,Kolkata
Please help as received damaged item from online store,Consumer Law,2022-02-20,Ahmedabad
Kindly look into the matter: seller refused to refund defective product,Consumer Law,2024-07-21,Kolkata
This is regarding that seller refused to refund defective product,Consumer Law,2023-06-19,Delhi
I want to complain that service provider charged extra money,Consumer Law,2022-04-16,Kolkata
This problem occurred because company is not honoring warranty,Consumer Law,2024-07-09,Hyderabad
Service provider charged extra money,Consumer Law,2023-02-02,Bangalore
I need help since wrong product delivered and no replacement,Consumer Law,2023-04-27,Ahmedabad
This problem occurred because wrong product delivered and no replacement,Consumer Law,2024-12-16,Delhi
I want to complain that company is not honoring warranty,Consumer Law,2024-07-13,Ahmedabad
I want to complain that received damaged item from online store,Consumer Law,2022-07-16,Pune
Received damaged item from online store,Consumer Law,2024-12-15,Ahmedabad
company is not honoring warranty and no action has been taken,Consumer Law,2023-09-22,Pune
This problem occurred because service provider charged extra money,Consumer Law,2023-06-29,Delhi
Seller refused to refund defective product,Consumer Law,2022-03-20,Pune
Service provider charged extra money,Consumer Law,2022-03-28,Hyderabad
I want to complain that company is not honoring warranty,Consumer Law,2022-10-01,Delhi
This is regarding that received damaged item from online store,Consumer Law,2023-10-21,Hyderabad
I am writing to report that service provider charged extra money,Consumer Law,2024-05-24,Mumbai
I need help since received damaged item from online store,Consumer Law,2022-11-06,Hyderabad
This is regarding that seller refused to refund defective product,Consumer Law,2022-02-25,Mumbai
I want to complain that service provider charged extra money,Consumer Law,2023-02-07,Ahmedabad
I want to complain that seller refused to refund defective product,Consumer Law,2023-04-16,Ahmedabad
received damaged item from online store and no action has been taken,Consumer Law,2022-06-07,Kolkata
service provider charged extra money and no action has been taken,Consumer Law,2024-12-30,Pune
I am facing an issue where received damaged item from online store,Consumer Law,2022-04-13,Chennai
wrong product delivered and no replacement and no action has been taken,Consumer Law,2024-07-08,Pune
This is regarding that company is not honoring warranty,Consumer Law,2022-08-22,Kolkata
I want to complain that received damaged item from online store,Consumer Law,2024-05-08,Pune
seller refused to refund defective product and no action has been taken,Consumer Law,2022-05-27,Chennai
I want to complain that seller refused to refund defective product,Consumer Law,2024-07-22,Delhi
I want to complain that seller refused to refund defective product,Consumer Law,2024-11-11,Bangalore
This problem occurred because service provider charged extra money,Consumer Law,2023-03-07,Bangalore
I need help since company is not honoring warranty,Consumer Law,2024-11-16,Mumbai
I am writing to report that wrong product delivered and no replacement,Consumer Law,2023-01-05,Pune
Please help as wrong product delivered and no replacement,Consumer Law,2022-07-24,Delhi
Please help as service provider charged extra money,Consumer Law,2024-02-18,Bangalore
Kindly look into the matter: seller refused to refund defective product,Consumer Law,2023-03-06,Bangalore
This problem occurred because service provider charged extra money,Consumer Law,2023-03-20,Kolkata
I am writing to report that seller refused to refund defective product,Consumer Law,2024-01-18,Pune
Please help as received damaged item from online store,Consumer Law,2022-09-21,Kolkata
This is regarding that wrong product delivered and no replacement,Consumer Law,2023-09-10,Pune
Kindly look into the matter: company is not honoring warranty,Consumer Law,2022-02-15,Chennai
This problem occurred because received damaged item from online store,Consumer Law,2023-01-24,Kolkata
This is regarding that received damaged item from online store,Consumer Law,2024-12-12,Mumbai
Please help as company is not honoring warranty,Consumer Law,2024-02-12,Delhi
This is regarding that seller refused to refund defective product,Consumer Law,2023-09-04,Delhi
Please help as company is not honoring warranty,Consumer Law,2024-03-08,Bangalore
wrong product delivered and no replacement and no action has been taken,Consumer Law,2023-05-07,Chennai
This problem occurred because service provider charged extra money,Consumer Law,2024-07-13,Ahmedabad
wrong product delivered and no replacement and no action has been taken,Consumer Law,2023-08-05,Delhi
Kindly look into the matter: service provider charged extra money,Consumer Law,2022-09-24,Mumbai
I need help since wrong product delivered and no replacement,Consumer Law,2023-09-22,Mumbai
I want to complain that received damaged item from online store,Consumer Law,2024-06-29,Kolkata
I need help since seller refused to refund defective product,Consumer Law,2024-02-27,Chennai
This is regarding that service provider charged extra money,Consumer Law,2022-05-12,Mumbai
Please help as wrong product delivered and no replacement,Consumer Law,2024-02-24,Ahmedabad
Kindly look into the matter: seller refused to refund defective product,Consumer Law,2023-10-08,Mumbai
Please help as company is not honoring warranty,Consumer Law,2024-05-21,Hyderabad
This problem occurred because seller refused to refund defective product,Consumer Law,2022-12-22,Mumbai
Please help as company is not honoring warranty,Consumer Law,2023-03-28,Chennai
Received damaged item from online store,Consumer Law,2024-12-01,Hyderabad
Kindly look into the matter: seller refused to refund defective product,Consumer Law,2023-10-02,Delhi
Please help as seller refused to refund defective product,Consumer Law,2024-04-16,Delhi
received damaged item from online store and no action has been taken,Consumer Law,2023-12-26,Bangalore
I need help since service provider charged extra money,Consumer Law,2023-06-04,Mumbai
Kindly look into the matter: wrong product delivered and no replacement,Consumer Law,2023-05-13,Kolkata
This is regarding that seller refused to refund defective product,Consumer Law,2022-01-20,Kolkata
I am facing an issue where wrong product delivered and no replacement,Consumer Law,2023-11-23,Bangalore
received damaged item from online store and no action has been taken,Consumer Law,2024-12-14,Bangalore
This is regarding that wrong product delivered and no replacement,Consumer Law,2023-02-26,Kolkata
I am writing to report that received damaged item from online store,Consumer Law,2022-03-30,Pune
I need help since seller refused to refund defective product,Consumer Law,2022-07-01,Chennai
I want to complain that service provider charged extra money,Consumer Law,2024-12-29,Kolkata
This problem occurred because seller refused to refund defective product,Consumer Law,2023-07-05,Pune
I am facing an issue where wrong product delivered and no replacement,Consumer Law,2024-01-24,Pune
Please help as service provider charged extra money,Consumer Law,2024-08-27,Delhi
I am facing an issue where wrong product delivered and no replacement,Consumer Law,2022-10-24,Bangalore
I need help since company is not honoring warranty,Consumer Law,2024-10-30,Chennai
service provider charged extra money and no action has been taken,Consumer Law,2023-12-14,Ahmedabad
Kindly look into the matter: wrong product delivered and no replacement,Consumer Law,2022-10-19,Bangalore
I need help since received damaged item from online store,Consumer Law,2022-11-17,Delhi
Wrong product delivered and no replacement,Consumer Law,2022-01-08,Mumbai
I am writing to report that company is not honoring warranty,Consumer Law,2023-06-26,Mumbai
This problem occurred because company is not honoring warranty,Consumer Law,2024-10-08,Bangalore
I am facing an issue where seller refused to refund defective product,Consumer Law,2022-03-22,Kolkata
I want to complain that seller refused to refund defective product,Consumer Law,2024-02-09,Kolkata
This problem occurred because seller refused to refund defective product,Consumer Law,2023-04-03,Mumbai
I am writing to report that seller refused to refund defective product,Consumer Law,2022-01-18,Hyderabad
This is regarding that wrong product delivered and no replacement,Consumer Law,2022-04-27,Hyderabad
This is regarding that seller refused to refund defective product,Consumer Law,2023-02-28,Mumbai
wrong product delivered and no replacement and no action has been taken,Consumer Law,2023-03-27,Delhi
Kindly look into the matter: company is not honoring warranty,Consumer Law,2022-01-23,Hyderabad
I am writing to report that seller refused to refund defective product,Consumer Law,2022-09-17,Bangalore
Kindly look into the matter: service provider charged extra money,Consumer Law,2024-08-24,Delhi
Kindly look into the matter: service provider charged extra money,Consumer Law,2022-06-04,Bangalore
I am writing to report that seller refused to refund defective product,Consumer Law,2022-05-02,Kolkata
I want to complain that seller refused to refund defective product,Consumer Law,2024-02-08,Hyderabad
This problem occurred because company is not honoring warranty,Consumer Law,2024-01-29,Mumbai
This problem occurred because service provider charged extra money,Consumer Law,2022-04-03,Chennai
I want to complain that received damaged item from online store,Consumer Law,2022-09-17,Ahmedabad
Service provider charged extra money,Consumer Law,2024-10-11,Hyderabad
Please help as wrong product delivered and no replacement,Consumer Law,2022-04-10,Mumbai
Wrong product delivered and no replacement,Consumer Law,2024-09-14,Kolkata
I want to complain that company is not honoring warranty,Consumer Law,2023-11-13,Bangalore
I am facing an issue where wrong product delivered and no replacement,Consumer Law,2022-10-26,Delhi
Please help as company is not honoring warranty,Consumer Law,2023-07-13,Ahmedabad
Please help as company is not honoring warranty,Consumer Law,2024-03-07,Hyderabad
This is regarding that received damaged item from online store,Consumer Law,2024-02-17,Bangalore
This problem occurred because wrong product delivered and no replacement,Consumer Law,2023-03-12,Hyderabad
I am writing to report that service provider charged extra money,Consumer Law,2022-05-16,Pune
I am facing an issue where seller refused to refund defective product,Consumer Law,2022-03-13,Chennai
Kindly look into the matter: wrong product delivered and no replacement,Consumer Law,2024-12-16,Delhi
This is regarding that received damaged item from online store,Consumer Law,2022-06-18,Ahmedabad
Received damaged item from online store,Consumer Law,2023-09-23,Bangalore
Please help as wrong product delivered and no replacement,Consumer Law,2022-07-04,Chennai
Kindly look into the matter: seller refused to refund defective product,Consumer Law,2023-03-05,Pune
I am facing an issue where received damaged item from online store,Consumer Law,2024-03-31,Mumbai
I want to complain that wrong product delivered and no replacement,Consumer Law,2023-05-31,Bangalore
I am writing to report that company is not honoring warranty,Consumer Law,2022-08-12,Delhi
This is regarding that received damaged item from online store,Consumer Law,2022-10-16,Bangalore
Please help as wrong product delivered and no replacement,Consumer Law,2022-04-28,Chennai
I need help since wrong product delivered and no replacement,Consumer Law,2022-09-24,Chennai
Please help as company is not honoring warranty,Consumer Law,2024-09-11,Delhi
I am writing to report that seller refused to refund defective product,Consumer Law,2024-09-21,Bangalore
This problem occurred because company is not honoring warranty,Consumer Law,2023-02-15,Pune
I am writing to report that wrong product delivered and no replacement,Consumer Law,2022-07-09,Ahmedabad
Received damaged item from online store,Consumer Law,2024-03-19,Ahmedabad
Kindly look into the matter: received damaged item from online store,Consumer Law,2022-01-15,Chennai
Kindly look into the matter: seller refused to refund defective product,Consumer Law,2023-01-20,Kolkata
This problem occurred because company is not honoring warranty,Consumer Law,2023-01-26,Chennai
Company is not honoring warranty,Consumer Law,2023-09-14,Ahmedabad
Kindly look into the matter: received damaged item from online store,Consumer Law,2023-01-04,Bangalore
I want to complain that seller refused to refund defective product,Consumer Law,2023-07-02,Chennai
This problem occurred because company is not honoring warranty,Consumer Law,2023-01-28,Delhi
Kindly look into the matter: service provider charged extra money,Consumer Law,2023-10-04,Hyderabad
This is regarding that seller refused to refund defective product,Consumer Law,2022-03-15,Chennai
This is regarding that received damaged item from online store,Consumer Law,2023-03-02,Delhi
I want to complain that seller refused to refund defective product,Consumer Law,2022-12-24,Hyderabad
received damaged item from online store and no action has been taken,Consumer Law,2024-04-13,Pune
received damaged item from online store and no action has been taken,Consumer Law,2024-05-29,Bangalore
company is not honoring warranty and no action has been taken,Consumer Law,2024-11-05,Pune
This is regarding that service provider charged extra money,Consumer Law,2023-03-29,Mumbai
This problem occurred because wrong product delivered and no replacement,Consumer Law,2024-07-12,Ahmedabad
Please help as wrong product delivered and no replacement,Consumer Law,2024-11-17,Kolkata
This is regarding that company is not honoring warranty,Consumer Law,2022-01-17,Ahmedabad
Please help as seller refused to refund defective product,Consumer Law,2022-09-03,Pune
I am writing to report that service provider charged extra money,Consumer Law,2022-05-07,Hyderabad
I am facing an issue where seller refused to refund defective product,Consumer Law,2024-07-15,Bangalore
Service provider charged extra money,Consumer Law,2024-12-14,Pune
I am writing to report that seller refused to refund defective product,Consumer Law,2023-01-20,Pune
I am writing to report that wrong product delivered and no replacement,Consumer Law,2023-10-02,Pune
Please help as service provider charged extra money,Consumer Law,2024-08-29,Bangalore
I need help since service provider charged extra money,Consumer Law,2022-03-29,Chennai
company is not honoring warranty and no action has been taken,Consumer Law,2023-08-20,Chennai
Wrong product delivered and no replacement,Consumer Law,2023-11-11,Hyderabad
Please help as company is not honoring warranty,Consumer Law,2024-04-21,Ahmedabad
I want to complain that company is not honoring warranty,Consumer Law,2024-12-19,Mumbai
I am facing an issue where wrong product delivered and no replacement,Consumer Law,2023-11-11,Chennai
I am writing to report that wrong product delivered and no replacement,Consumer Law,2023-02-12,Hyderabad
I am facing an issue where seller refused to refund defective product,Consumer Law,2023-10-11,Pune
Kindly look into the matter: seller refused to refund defective product,Consumer Law,2024-08-21,Bangalore
Kindly look into the matter: seller refused to refund defective product,Consumer Law,2024-09-17,Hyderabad
service provider charged extra money and no action has been taken,Consumer Law,2022-04-01,Delhi
I am writing to report that wrong product delivered and no replacement,Consumer Law,2024-11-18,Chennai
I want to complain that service provider charged extra money,Consumer Law,2024-07-05,Delhi
Kindly look into the matter: received damaged item from online store,Consumer Law,2023-10-20,Bangalore
Kindly look into the matter: seller refused to refund defective product,Consumer Law,2024-04-05,Kolkata
Kindly look into the matter: received damaged item from online store,Consumer Law,2023-02-26,Kolkata
Please help as service provider charged extra money,Consumer Law,2024-01-11,Hyderabad
I am writing to report that service provider charged extra money,Consumer Law,2022-06-11,Hyderabad
I am writing to report that received damaged item from online store,Consumer Law,2024-09-14,Ahmedabad
Kindly look into the matter: wrong product delivered and no replacement,Consumer Law,2024-06-25,Mumbai
Company is not honoring warranty,Consumer Law,2022-04-12,Bangalore
